Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM
Ablazeolive,Golden Guardians,Middle,18,17%,39%,43,60,49,1.5,68.10%,31.90%,20.40%,17%,93,8,1.6,8.6,25.30%,459,28.30%,248,24.60%,0.44,0.22
Alphari,Team Liquid,Top,18,67%,50%,63,27,103,6.1,68.00%,25.80%,16.80%,28%,493,174,12.5,8.3,24.80%,520,28.60%,289,24.20%,0.49,0.17
aphromoo,Dignitas,Support,18,61%,67%,18,48,179,4.1,75.50%,6.90%,21.20%,22%,-228,18,-5.3,1.2,3.30%,137,7.60%,106,9.30%,1.15,0.32
Blaber,Cloud9,Jungle,18,72%,56%,68,40,137,5.1,72.20%,23.90%,19.80%,56%,214,175,2.6,7.1,20.10%,404,21.40%,253,20.60%,0.34,0.35
Broxah,Counter Logic Gaming,Jungle,12,33%,33%,24,28,79,3.7,69.10%,16.10%,15.80%,42%,-98,7,0.8,5.9,15.90%,295,17.70%,191,17.60%,0.38,0.46
Closer,100 Thieves,Jungle,18,61%,22%,53,45,123,3.9,73.90%,22.30%,18.00%,28%,-93,12,-0.6,6.1,17.60%,294,15.90%,211,18.90%,0.34,0.33
CoreJJ,Team Liquid,Support,18,67%,33%,13,35,156,4.8,69.30%,5.30%,21.70%,39%,141,147,1.4,1.5,3.40%,117,6.60%,115,9.60%,1.22,0.43
Damonte,100 Thieves,Middle,12,67%,42%,23,36,95,3.3,72.80%,14.20%,20.00%,8%,-240,-257,-0.9,8.1,24.00%,413,21.90%,247,21.30%,0.48,0.15
Dardoch,Dignitas,Jungle,18,61%,67%,44,51,126,3.3,65.10%,16.90%,22.60%,33%,-140,-230,-3.3,6.3,19.00%,268,14.90%,213,19.00%,0.33,0.49
Deftly,Evil Geniuses,ADC,18,56%,50%,75,30,96,5.7,63.60%,27.90%,11.20%,17%,-9,58,2.8,8.9,28.80%,525,25.10%,287,25.80%,0.52,0.31
Destiny,Immortals,Support,18,39%,39%,6,39,121,3.3,69.00%,3.30%,21.00%,28%,-71,-105,2.3,1.8,4.10%,132,8.30%,96,8.90%,1.51,0.35
Diamond,FlyQuest,Support,15,33%,60%,13,47,82,2,54.30%,7.40%,23.40%,13%,-9,-86,5.7,2,5.30%,135,7.60%,103,9.80%,1.15,0.3
Dreams,FlyQuest,Support,3,33%,0%,0,10,28,2.8,62.20%,0.00%,21.30%,0%,106,-14,-2.7,0.7,1.60%,108,5.60%,82,7.00%,1.7,0.19
